Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/",8420,243,53,7208964169,7208964169.0,7208964169,7208964169,241384749,241384749.0,241384749,241384749,1933752791,1933752791.0,1933752791,1933752791,2257866339,2257866339.0,2257866339,2257866339
"/module/",8420,243,53,7208964169,7208964169.0,7208964169,7208964169,241384749,241384749.0,241384749,241384749,1933752791,1933752791.0,1933752791,1933752791,2257866339,2257866339.0,2257866339,2257866339
"/module/main/",8420,243,53,7208964169,7208964169.0,7208964169,7208964169,241384749,241384749.0,241384749,241384749,1933752791,1933752791.0,1933752791,1933752791,2257866339,2257866339.0,2257866339,2257866339
"/module/main/stroke_predict/",4197,121,48,6384500404,6384500404.0,6384500404,6384500404,208562626,208562626.0,208562626,208562626,1132602318,1132602318.0,1132602318,1132602318,2257310018,2257310018.0,2257310018,2257310018
"/module/main/stroke_predict/DataParallel::_call_impl/",433,121,48,3138286754,3138286754.0,3138286754,3138286754,199282705,199282705.0,199282705,199282705,281248547,281248547.0,281248547,281248547,1914142960,1914142960.0,1914142960,1914142960
"/module/main/stroke_predict/DataParallel::_call_impl/DataParallel::forward/",433,121,48,3138286754,3138286754.0,3138286754,3138286754,199282705,199282705.0,199282705,199282705,281248547,281248547.0,281248547,281248547,1914142960,1914142960.0,1914142960,1914142960
"/module/main/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::scatter/",1,0,0,2100,2100.0,2100,2100,0,0.0,0,0,2100,2100.0,2100,2100,0,0.0,0,0
"/module/main/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::scatter/scatter_kwargs/",1,0,0,2100,2100.0,2100,2100,0,0.0,0,0,2100,2100.0,2100,2100,0,0.0,0,0
"/module/main/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::scatter/scatter_kwargs/scatter/",1,0,0,2100,2100.0,2100,2100,0,0.0,0,0,2100,2100.0,2100,2100,0,0.0,0,0
"/module/main/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::scatter/scatter_kwargs/scatter/scatter_map/",1,0,0,2100,2100.0,2100,2100,0,0.0,0,0,2100,2100.0,2100,2100,0,0.0,0,0
"/module/main/stroke_predict/DataParallel::_call_impl/DataParallel::forward/DataParallel::scatter/scatter_kwargs/scatter/scatter_map/forward/",1,0,0,2100,2100.0,2100,2100,0,0.0,0,0,2100,2100.0,2100,2100,0,0.0,0,0
"/module/main/stroke_predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/",431,121,48,3138262564,3138262564.0,3138262564,3138262564,199282705,199282705.0,199282705,199282705,281224357,281224357.0,281224357,281224357,1914142960,1914142960.0,1914142960,1914142960
"/module/main/stroke_predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/",431,121,48,3138262564,3138262564.0,3138262564,3138262564,199282705,199282705.0,199282705,199282705,281224357,281224357.0,281224357,281224357,1914142960,1914142960.0,1914142960,1914142960
"/module/main/stroke_predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/AdaptiveAvgPool2d::_call_impl[3]/",1,0,0,245218,245218.0,245218,245218,15520,15520.0,15520,15520,231978,231978.0,231978,231978,0,0.0,0,0
"/module/main/stroke_predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/AdaptiveAvgPool2d::_call_impl[3]/AdaptiveAvgPool2d::forward/",1,0,0,245218,245218.0,245218,245218,15520,15520.0,15520,15520,231978,231978.0,231978,231978,0,0.0,0,0
