Op Type Summary Report
Op Type,# Ops,# Calls,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"adaptive_avg_pool2d",2,2,417427,208713.5,172209,245218,33152,16576.0,15520,17632,389447,194723.5,157469,231978,0,0.0,0,0
"avg_pool2d",6,6,293818,48969.7,31309,81739,381122,63520.3,29600,104609,213129,35521.5,20480,68419,0,0.0,0,0
"batch_norm",243,243,115604973,475740.6,347917,1719284,10921589,44944.8,4896,279905,108740746,447492.8,319418,1441567,33728,138.8,0,33728
"cat",124,124,6568885,52974.9,36900,138329,7361854,59369.8,7168,281601,4955068,39960.2,26720,104069,0,0.0,0,0
"conv2d",240,240,2311328319,9630534.7,68799,1906725127,196839684,820165.3,28000,19714322,169469136,706121.4,56310,83557156,1201146762,5004778.2,0,1088747546
"copy_",2915,2915,262933337,90200.1,3320,31237399,1990294,682.8,0,9248,255076316,87504.7,3320,31237399,0,0.0,0,0
"cpu",2,2,126480,63240.0,48640,77840,4384,2192.0,2080,2304,67940,33970.0,22060,45880,0,0.0,0,0
"cuda",1463,1463,2518783854,1721656.8,27880,2456163207,10529177,7197.0,1152,3218733,131725356,90037.8,15430,105834640,0,0.0,0,0
"cudaMemcpyAsync_v3020",242,242,3339169,13798.2,11340,27750,376408,1555.4,1472,2016,0,0.0,0,0,0,0.0,0,0
"cudaStreamSynchronize_v3020",242,242,430785,1780.1,1200,6580,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"dropout",1,1,177009,177009.0,177009,177009,0,0.0,0,0,177009,177009.0,177009,177009,0,0.0,0,0
"fill_",972,972,4615102,4748.0,3550,36030,0,0.0,0,0,4615102,4748.0,3550,36030,0,0.0,0,0
"get_device",1,1,2100,2100.0,2100,2100,0,0.0,0,0,2100,2100.0,2100,2100,0,0.0,0,0
"linear",3,3,714314967,238104989.0,222908,713710953,34337,11445.7,7104,14081,4707517,1569172.3,198449,4171882,713518791,237839597.0,53984,713395367
"load",4,4,987954987,246988746.8,191180201,347701154,2537188,634297.0,0,2537188,970691744,242672936.0,191180201,330437911,343167058,85791764.5,0,343167058
"manual_seed",2,2,399236,199618.0,46839,352397,0,0.0,0,0,396436,198218.0,44039,352397,0,0.0,0,0
"max_pool2d",2,2,1160560,580280.0,355477,805083,466370,233185.0,229761,236609,1127650,563825.0,342147,785503,0,0.0,0,0
"normal_",240,240,71887222,299530.1,44319,3785896,0,0.0,0,0,71887222,299530.1,44319,3785896,0,0.0,0,0
"numpy",2,2,11250,5625.0,4980,6270,0,0.0,0,0,11250,5625.0,4980,6270,0,0.0,0,0
"ones",243,243,1759338,7240.1,6290,44200,0,0.0,0,0,1759338,7240.1,6290,44200,0,0.0,0,0
"relu",242,242,99896072,412793.7,267437,908962,10279998,42479.3,2528,275872,97039952,400991.5,256737,896372,0,0.0,0,0
"sigmoid",2,2,157949,78974.5,60710,97239,5600,2800.0,2784,2816,129049,64524.5,47970,81079,0,0.0,0,0
"tensor",485,485,3866744,7972.7,6420,42639,0,0.0,0,0,3866744,7972.7,6420,42639,0,0.0,0,0
"uniform_",250,250,103427554,413710.2,3819,7019057,0,0.0,0,0,103427554,413710.2,3819,7019057,0,0.0,0,0
"view",3,3,36149,12049.7,7530,18489,0,0.0,0,0,36149,12049.7,7530,18489,0,0.0,0,0
"zero_",729,729,1791076,2456.9,1810,13950,0,0.0,0,0,1791076,2456.9,1810,13950,0,0.0,0,0
"zeros",244,244,1449761,5941.6,5080,43330,0,0.0,0,0,1449761,5941.6,5080,43330,0,0.0,0,0
