Op Type Summary Report
Op Type,# Ops,# Calls,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"DataLoader",2,2,658062620,329031310.0,245677,657816943,0,0.0,0,0,658062620,329031310.0,245677,657816943,0,0.0,0,0
"adaptive_avg_pool2d",2,2,1932442,966221.0,179719,1752723,33184,16592.0,15808,17376,1905043,952521.5,166919,1738124,0,0.0,0,0
"avg_pool2d",6,6,1270130,211688.3,41300,1021621,375010,62501.7,30112,104352,1181170,196861.7,27270,1006441,0,0.0,0,0
"batch_norm",243,243,115499026,475304.6,341927,2257199,10892998,44827.2,4927,279905,110758285,455795.4,327947,2225939,264161,1087.1,0,264161
"cat",124,124,6479818,52256.6,36459,399807,7370329,59438.1,7232,281953,4891461,39447.3,26299,365957,0,0.0,0,0
"conv2d",240,240,3213895113,13391229.6,68910,2819101594,198653895,827724.6,27712,21959411,345364192,1439017.5,56340,255768780,1704758623,7103160.9,0,1598458408
"copy_",2915,2915,110119854,37777.0,3520,8290693,1981164,679.6,0,9184,102240659,35074.0,3520,8290693,0,0.0,0,0
"cpu",2,2,168029,84014.5,69110,98919,4064,2032.0,1920,2144,82860,41430.0,30570,52290,0,0.0,0,0
"cuda",1463,1463,2598022916,1775818.8,28920,2527409151,13461215,9201.1,1183,4587153,220526393,150735.7,15840,193506901,0,0.0,0,0
"cudaMemcpyAsync_v3020",242,242,3341765,13808.9,11380,25000,374716,1548.4,1472,1856,0,0.0,0,0,0,0.0,0,0
"cudaStreamSynchronize_v3020",242,242,433367,1790.8,1130,6350,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"dropout",1,1,410926,410926.0,410926,410926,0,0.0,0,0,410926,410926.0,410926,410926,0,0.0,0,0
"fill_",972,972,4686831,4821.8,3410,33450,0,0.0,0,0,4686831,4821.8,3410,33450,0,0.0,0,0
"float",2,2,5271741,2635870.5,96929,5174812,148258,74129.0,74113,74145,3919164,1959582.0,59450,3859714,0,0.0,0,0
"get_device",1,1,1960,1960.0,1960,1960,0,0.0,0,0,1960,1960.0,1960,1960,0,0.0,0,0
"linear",3,3,1232813289,410937763.0,1443696,1226845615,34400,11466.7,7136,14208,16374439,5458146.3,1409176,10493833,1231335550,410445183.3,1184740,1225966826
"load",4,4,1023403735,255850933.8,201695355,348638242,2513998,628499.5,0,2513998,1003663152,250915788.0,201695355,328897659,343939244,85984811.0,0,343939244
"manual_seed",2,2,255877,127938.5,43869,212008,0,0.0,0,0,252507,126253.5,40499,212008,0,0.0,0,0
"max_pool2d",2,2,3357369,1678684.5,363497,2993872,468482,234241.0,233889,234593,3313889,1656944.5,349817,2964072,0,0.0,0,0
"normal_",240,240,69673847,290307.7,44380,2567606,0,0.0,0,0,69673847,290307.7,44380,2567606,0,0.0,0,0
"numpy",2,2,14190,7095.0,6730,7460,0,0.0,0,0,14190,7095.0,6730,7460,0,0.0,0,0
"ones",243,243,2128948,8761.1,6240,68339,0,0.0,0,0,2128948,8761.1,6240,68339,0,0.0,0,0
"relu",242,242,101638981,419995.8,291877,1753483,10286004,42504.1,2591,275681,98851965,408479.2,280237,1726194,0,0.0,0,0
"set_vital",1,1,10350,10350.0,10350,10350,0,0.0,0,0,10350,10350.0,10350,10350,0,0.0,0,0
"sigmoid",2,2,1128150,564075.0,66990,1061160,5600,2800.0,2784,2816,1087211,543605.5,48470,1038741,0,0.0,0,0
"tensor",485,485,4398348,9068.8,6500,47940,0,0.0,0,0,4398348,9068.8,6500,47940,0,0.0,0,0
"uniform_",250,250,111461081,445844.3,3750,7175453,0,0.0,0,0,111461081,445844.3,3750,7175453,0,0.0,0,0
"view",3,3,43469,14489.7,10669,20630,0,0.0,0,0,43469,14489.7,10669,20630,0,0.0,0,0
"zero_",729,729,1823816,2501.8,1800,14710,0,0.0,0,0,1823816,2501.8,1800,14710,0,0.0,0,0
"zeros",244,244,1645409,6743.5,4760,25889,0,0.0,0,0,1645409,6743.5,4760,25889,0,0.0,0,0
