Kernel Report
Kernel Name,Op ID,Op Name,Direction,Uses TC,Total GPU Time (ns),Avg GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total API Time (ns),Avg API Time (ns),Min API Time (ns),Max API Time (ns)
"reduce_kernel","ADAPTIVE_AVG_POOL2D_1","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/AdaptiveAvgPool2d::_call_impl[3]/AdaptiveAvgPool2d::forward/adaptive_avg_pool2d",fprop,no,15808,15808.0,15808,15808,14599,14599.0,14599,14599
"ampere_sgemm_32x32_sliced1x4_tn","LINEAR_1","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Linear::_call_impl[4]/Linear::forward/linear",fprop,no,5536,5536.0,5536,5536,41919,41919.0,41919,41919
"splitKreduce_kernel","LINEAR_1","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Linear::_call_impl[4]/Linear::forward/linear",fprop,no,3744,3744.0,3744,3744,11460,11460.0,11460,11460
"unrolled_elementwise_kernel","LINEAR_1","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Linear::_call_impl[4]/Linear::forward/linear",fprop,no,3776,3776.0,3776,3776,15900,15900.0,15900,15900
"vectorized_elementwise_kernel","RELU_121","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/ReLU::_call_impl[2]/ReLU::forward/relu",fprop,no,19328,19328.0,19328,19328,12650,12650.0,12650,12650
"ampere_cgemm_64x32_tn","CONV2D_14","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,51866446,24558.0,22464,29280,10181915,4821.0,3760,19410
"ampere_gcgemm_64x64_nt","CONV2D_14","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,729411,364705.5,338241,391170,10060,5030.0,4520,5540
"ampere_scudnn_128x64_relu_interior_nn_v1","CONV2D_14","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,777252,388626.0,384642,392610,13350,6675.0,5480,7870
"computeOffsetsKernel","CONV2D_14","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,6144,3072.0,2944,3200,20949,10474.5,8410,12539
"explicit_convolve_sgemm","CONV2D_14","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,476802,476802.0,476802,476802,10420,10420.0,10420,10420
"fft1d_c2r_32","CONV2D_14","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,150209,75104.5,69440,80769,9630,4815.0,4450,5180
"fft1d_r2c_32","CONV2D_14","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,386977,128992.3,18976,187776,17580,5860.0,4530,7850
"fft2d_c2r_64x64","CONV2D_14","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,135200,135200.0,135200,135200,6190,6190.0,6190,6190
"fft2d_r2c_64x64","CONV2D_14","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,1180516,590258.0,281761,898755,16420,8210.0,6600,9820
"flip_filter","CONV2D_14","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,27232,27232.0,27232,27232,11500,11500.0,11500,11500
"im2col4d_kernel","CONV2D_14","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,289217,289217.0,289217,289217,10830,10830.0,10830,10830
"implicit_convolve_sgemm","CONV2D_14","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,1062661,531330.5,529731,532930,31830,15915.0,14060,17770
"transpose_readWrite_alignment_kernel","CONV2D_14","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,2187944,729314.7,132576,1755463,21089,7029.7,5640,8910
