Tensor Core Report
Op ID,Op Name,Direction,Op Type,Uses TC,Total GPU Time (ns),TC GPU Time (ns),Non-TC GPU Time (ns),TC Utilization (%),Total Kernel Count,TC Kernel Count,TC Kernel Names,Non-TC Kernel Count,Non-TC Kernel Names
"CONV2D_1","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d",no,9205508,0,9205508,0.0,8,0,"",8,"ampere_gcgemm_64x32_nt, ampere_scudnn_128x64_relu_xregs_large_nn_v1, computeOffsetsKernel, explicit_convolve_sgemm, fft2d_c2r_32x32, fft2d_r2c_32x32, im2col4d_kernel, implicit_convolve_sgemm"
"CONV2D_10","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/_DenseLayer::bn_function/BatchNorm2d::_call_impl/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d",no,6734266,0,6734266,0.0,13,0,"",13,"ampere_cgemm_64x32_tn, ampere_gcgemm_64x64_nt, ampere_scudnn_128x64_relu_interior_nn_v1, computeOffsetsKernel, explicit_convolve_sgemm, fft1d_c2r_32, fft1d_r2c_32, fft2d_c2r_64x64, fft2d_r2c_64x64, flip_filter, im2col4d_kernel, implicit_convolve_sgemm, transpose_readWrite_alignment_kernel"
"CONV2D_100","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/BatchNorm2d::_call_impl/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d",no,28705,0,28705,0.0,2,0,"",2,"ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1, generateWinogradTilesKernel"
"CONV2D_101","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/_DenseLayer::bn_function/BatchNorm2d::_call_impl/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d",yes,1119332,15360,1103972,1.4,13,1,"Kernel",12,"ampere_cgemm_64x32_tn, ampere_gcgemm_64x64_nt, explicit_convolve_sgemm, fft1d_c2r_32, fft1d_r2c_32, fft2d_c2r_16x16, fft2d_r2c_16x16, flip_filter, im2col4d_kernel, implicit_convolve_sgemm, nchwToNhwcKernel, nhwcToNchwKernel"
"CONV2D_102","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/BatchNorm2d::_call_impl/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d",no,28064,0,28064,0.0,2,0,"",2,"ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1, generateWinogradTilesKernel"
"CONV2D_103","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/_DenseLayer::bn_function/BatchNorm2d::_call_impl/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d",yes,1160069,15840,1144229,1.4,13,1,"Kernel",12,"ampere_cgemm_64x32_tn, ampere_gcgemm_64x64_nt, explicit_convolve_sgemm, fft1d_c2r_32, fft1d_r2c_32, fft2d_c2r_16x16, fft2d_r2c_16x16, flip_filter, im2col4d_kernel, implicit_convolve_sgemm, nchwToNhwcKernel, nhwcToNchwKernel"
"CONV2D_104","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/BatchNorm2d::_call_impl/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d",no,28224,0,28224,0.0,2,0,"",2,"ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1, generateWinogradTilesKernel"
"CONV2D_105","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/_DenseLayer::bn_function/BatchNorm2d::_call_impl/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d",yes,1227428,15679,1211749,1.3,13,1,"Kernel",12,"ampere_cgemm_64x32_tn, ampere_gcgemm_64x64_nt, explicit_convolve_sgemm, fft1d_c2r_32, fft1d_r2c_32, fft2d_c2r_16x16, fft2d_r2c_16x16, flip_filter, im2col4d_kernel, implicit_convolve_sgemm, nchwToNhwcKernel, nhwcToNchwKernel"
"CONV2D_106","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/BatchNorm2d::_call_impl/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d",no,28384,0,28384,0.0,2,0,"",2,"ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1, generateWinogradTilesKernel"
"CONV2D_107","/module/main/predict/DataParallel::_call_impl/DataParallel::forward/densenet121_stroke::_call_impl/densenet121_stroke::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/_DenseLayer::bn_function/BatchNorm2d::_call_impl/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d",yes,1259941,16896,1243045,1.3,13,1,"Kernel",12,"ampere_cgemm_64x32_tn, ampere_gcgemm_64x64_nt, explicit_convolve_sgemm, fft1d_c2r_32, fft1d_r2c_32, fft2d_c2r_16x16, fft2d_r2c_16x16, flip_filter, im2col4d_kernel, implicit_convolve_sgemm, nchwToNhwcKernel, nhwcToNchwKernel"
