Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/",9731,606,274,38506148642,38506148642.0,38506148642,38506148642,621240668,621240668.0,621240668,621240668,15245389230,15245389230.0,15245389230,15245389230,14789406573,14789406573.0,14789406573,14789406573
"/Thread::_bootstrap/",1732,484,226,32522541342,32522541342.0,32522541342,32522541342,408217428,408217428.0,408217428,408217428,9818493524,9818493524.0,9818493524,9818493524,14197636439,14197636439.0,14197636439,14197636439
"/Thread::_bootstrap/Thread::_bootstrap_inner/",1732,484,226,32522541342,32522541342.0,32522541342,32522541342,408217428,408217428.0,408217428,408217428,9818493524,9818493524.0,9818493524,9818493524,14197636439,14197636439.0,14197636439,14197636439
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/",1732,484,226,32522541342,32522541342.0,32522541342,32522541342,408217428,408217428.0,408217428,408217428,9818493524,9818493524.0,9818493524,9818493524,14197636439,14197636439.0,14197636439,14197636439
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/",4,0,0,2392416732,2392416732.0,2392416732,2392416732,0,0.0,0,0,54672741,54672741.0,54672741,54672741,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/Queue::get/",2,0,0,199689,199689.0,199689,199689,0,0.0,0,0,199689,199689.0,199689,199689,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/Queue::get/rebuild_tensor/",2,0,0,199689,199689.0,199689,199689,0,0.0,0,0,199689,199689.0,199689,199689,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/Queue::get/rebuild_tensor/_rebuild_tensor/",2,0,0,199689,199689.0,199689,199689,0,0.0,0,0,199689,199689.0,199689,199689,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/pin_memory/",1,0,0,2343799707,2343799707.0,2343799707,2343799707,0,0.0,0,0,6055716,6055716.0,6055716,6055716,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/",1728,484,226,30130124610,30130124610.0,30130124610,30130124610,408217428,408217428.0,408217428,408217428,9763820783,9763820783.0,9763820783,9763820783,14197636439,14197636439.0,14197636439,14197636439
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/autocast::__exit__/",4,0,0,20080,20080.0,20080,20080,0,0.0,0,0,20080,20080.0,20080,20080,0,0.0,0,0
