Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/",9731,606,264,39279714493,39279714493.0,39279714493,39279714493,622972416,622972416.0,622972416,622972416,15271135728,15271135728.0,15271135728,15271135728,15064840706,15064840706.0,15064840706,15064840706
"/Thread::_bootstrap/",1732,484,216,33414309005,33414309005.0,33414309005,33414309005,406301987,406301987.0,406301987,406301987,9991295282,9991295282.0,9991295282,9991295282,14456824645,14456824645.0,14456824645,14456824645
"/Thread::_bootstrap/Thread::_bootstrap_inner/",1732,484,216,33414309005,33414309005.0,33414309005,33414309005,406301987,406301987.0,406301987,406301987,9991295282,9991295282.0,9991295282,9991295282,14456824645,14456824645.0,14456824645,14456824645
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/",1732,484,216,33414309005,33414309005.0,33414309005,33414309005,406301987,406301987.0,406301987,406301987,9991295282,9991295282.0,9991295282,9991295282,14456824645,14456824645.0,14456824645,14456824645
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/",4,0,0,2372376156,2372376156.0,2372376156,2372376156,0,0.0,0,0,69824250,69824250.0,69824250,69824250,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/Queue::get/",2,0,0,169238,169238.0,169238,169238,0,0.0,0,0,169238,169238.0,169238,169238,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/Queue::get/rebuild_tensor/",2,0,0,169238,169238.0,169238,169238,0,0.0,0,0,169238,169238.0,169238,169238,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/Queue::get/rebuild_tensor/_rebuild_tensor/",2,0,0,169238,169238.0,169238,169238,0,0.0,0,0,169238,169238.0,169238,169238,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/pin_memory/",1,0,0,2308247566,2308247566.0,2308247566,2308247566,0,0.0,0,0,5695660,5695660.0,5695660,5695660,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/",1728,484,216,31041932849,31041932849.0,31041932849,31041932849,406301987,406301987.0,406301987,406301987,9921471032,9921471032.0,9921471032,9921471032,14456824645,14456824645.0,14456824645,14456824645
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/autocast::__exit__/",4,0,0,20050,20050.0,20050,20050,0,0.0,0,0,20050,20050.0,20050,20050,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/",1724,484,216,31041912799,31041912799.0,31041912799,31041912799,406301987,406301987.0,406301987,406301987,9921450982,9921450982.0,9921450982,9921450982,14456824645,14456824645.0,14456824645,14456824645
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/",1724,484,216,31041912799,31041912799.0,31041912799,31041912799,406301987,406301987.0,406301987,406301987,9921450982,9921450982.0,9921450982,9921450982,14456824645,14456824645.0,14456824645,14456824645
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/AdaptiveAvgPool2d::_call_impl[3]/",4,0,0,1090420,1090420.0,1090420,1090420,26911,26911.0,26911,26911,1022200,1022200.0,1022200,1022200,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/AdaptiveAvgPool2d::_call_impl[3]/AdaptiveAvgPool2d::forward/",4,0,0,1090420,1090420.0,1090420,1090420,26911,26911.0,26911,26911,1022200,1022200.0,1022200,1022200,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Linear::_call_impl[4]/",4,4,0,6783277023,6783277023.0,6783277023,6783277023,55424,55424.0,55424,55424,1404424510,1404424510.0,1404424510,1404424510,6781578013,6781578013.0,6781578013,6781578013
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Linear::_call_impl[4]/Linear::forward/",4,4,0,6783277023,6783277023.0,6783277023,6783277023,55424,55424.0,55424,55424,1404424510,1404424510.0,1404424510,1404424510,6781578013,6781578013.0,6781578013,6781578013
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/ReLU::_call_impl[2]/",4,0,0,2377857,2377857.0,2377857,2377857,14497,14497.0,14497,14497,2303227,2303227.0,2303227,2303227,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/ReLU::_call_impl[2]/ReLU::forward/",4,0,0,2377857,2377857.0,2377857,2377857,14497,14497.0,14497,14497,2303227,2303227.0,2303227,2303227,0,0.0,0,0
