Op Type Summary Report
Op Type,# Ops,# Calls,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"CatArrayBatchedCopy",7,7,118618,16945.4,5460,34889,259776,37110.9,28320,47744,0,0.0,0,0,0,0.0,0,0
"DataLoader",2,2,3522089579,1761044789.5,30862626,3491226953,0,0.0,0,0,3522089579,1761044789.5,30862626,3491226953,0,0.0,0,0
"NCCL",31,31,639551447,20630691.8,370,639085801,8303442,267853.0,0,3851271,253049234,8162878.5,370,252868035,146536981,4726999.4,0,146536981
"adaptive_avg_pool2d",5,5,1274578,254915.6,184158,379666,43039,8607.8,5120,16128,1192949,238589.8,170749,355816,0,0.0,0,0
"avg_pool2d",15,15,40475712,2698380.8,42890,37112001,399169,26611.3,5888,96768,983984,65598.9,29110,154320,0,0.0,0,0
"batch_norm",606,606,845772781,1395664.7,349017,48077993,11725347,19348.8,3360,278785,375090170,618960.7,330967,12629038,53408,88.1,0,53408
"cat",310,310,91084079,293819.6,39150,21244092,8156348,26310.8,3328,282338,41117757,132637.9,28550,21197053,0,0.0,0,0
"clear_autocast_cache",4,4,20050,5012.5,4160,6120,0,0.0,0,0,20050,5012.5,4160,6120,0,0.0,0,0
"conv2d",600,600,23654489237,39424148.7,68519,7413162756,578323924,963873.2,27264,25114468,7961718254,13269530.4,55850,4082280452,7944255051,13240425.1,0,1815430659
"copy_",2915,2915,450108672,154411.2,3520,37228710,1984757,680.9,0,9408,442074855,151655.2,3520,37228710,0,0.0,0,0
"cpu",2,2,191448,95724.0,64839,126609,4129,2064.5,1729,2400,112089,56044.5,24839,87250,0,0.0,0,0
"cuda",1463,1463,63752180,43576.3,28430,2211031,8812946,6023.9,1183,1876231,26519899,18127.1,15710,167628,0,0.0,0,0
"cudaMemcpyAsync_v3020",249,249,3570404,14339.0,11330,79039,1097916,4409.3,1440,285250,0,0.0,0,0,0,0.0,0,0
"cudaStreamSynchronize_v3020",242,242,418216,1728.2,1180,4170,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"cudaStreamWaitEvent_v3020",12,12,103030,8585.8,2380,21040,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"dropout",1,1,174748,174748.0,174748,174748,0,0.0,0,0,174748,174748.0,174748,174748,0,0.0,0,0
"fill_",972,972,4576114,4707.9,3640,25940,0,0.0,0,0,4576114,4707.9,3640,25940,0,0.0,0,0
"float",2,2,1242668,621334.0,56229,1186439,149377,74688.5,74336,75041,76108,38054.0,25569,50539,0,0.0,0,0
"get_device",6,6,21290,3548.3,1370,8950,0,0.0,0,0,21290,3548.3,1370,8950,0,0.0,0,0
"linear",6,6,6784007717,1130667952.8,232978,2554570051,75807,12634.5,6720,14560,1405086164,234181027.3,209708,792336274,6781720702,1130286783.7,59808,2554165572
"load",4,4,940888025,235222006.2,187334949,343677222,2545220,636305.0,0,2545220,923097248,230774312.0,187334949,325886445,338811545,84702886.2,0,338811545
"manual_seed",2,2,166339,83169.5,76649,89690,0,0.0,0,0,148009,74004.5,66599,81410,0,0.0,0,0
"max_pool2d",5,5,3947694,789538.8,362436,1144720,479521,95904.2,36832,235553,3845845,769169.0,348657,1120380,0,0.0,0,0
"normal_",240,240,68692291,286217.9,44439,2686806,0,0.0,0,0,68692291,286217.9,44439,2686806,0,0.0,0,0
"numpy",2,2,21900,10950.0,6170,15730,0,0.0,0,0,21900,10950.0,6170,15730,0,0.0,0,0
"ones",243,243,1803085,7420.1,6490,44500,0,0.0,0,0,1803085,7420.1,6490,44500,0,0.0,0,0
"pin_memory",1,1,2308247566,2308247566.0,2308247566,2308247566,0,0.0,0,0,5695660,5695660.0,5695660,5695660,0,0.0,0,0
"relu",605,605,327877410,541946.1,294257,2362739,10266592,16969.6,2400,276897,318247609,526029.1,275717,2330740,0,0.0,0,0
"set_",1,1,75259,75259.0,75259,75259,0,0.0,0,0,75259,75259.0,75259,75259,0,0.0,0,0
"set_num_threads",1,1,63959352,63959352.0,63959352,63959352,0,0.0,0,0,63959352,63959352.0,63959352,63959352,0,0.0,0,0
"set_vital",1,1,7399,7399.0,7399,7399,0,0.0,0,0,7399,7399.0,7399,7399,0,0.0,0,0
"sigmoid",2,2,184128,92064.0,61179,122949,6240,3120.0,2880,3360,124869,62434.5,46989,77880,0,0.0,0,0
"tensor",486,486,4045457,8324.0,6680,93979,0,0.0,0,0,4045457,8324.0,6680,93979,0,0.0,0,0
"uniform_",250,250,97155164,388620.7,3650,7024848,0,0.0,0,0,97155164,388620.7,3650,7024848,0,0.0,0,0
"view",6,6,88568,14761.3,8770,20390,0,0.0,0,0,88568,14761.3,8770,20390,0,0.0,0,0
"zero_",729,729,1882927,2582.9,1910,11780,0,0.0,0,0,1882927,2582.9,1910,11780,0,0.0,0,0
"zeros",244,244,1391076,5701.1,4810,20700,0,0.0,0,0,1391076,5701.1,4810,20700,0,0.0,0,0
