System Config
GPU Count,4
GPU Name(s),NVIDIA RTX A5000, NVIDIA RTX A5000, NVIDIA RTX A5000, NVIDIA RTX A5000
CPU Model,AMD EPYC 7402 24-Core Processor
GPU Driver Version,470.57.02
Framework,PyTorch 1.10.0a0+3fd9dcf
CUDA Version,11.4
cuDNN Version,8.2.2
NSys Version,2021.3.2.12-9700a21
DLProf Version,v1.8.0
DLProf Build,29839685

Summary Report
Wall Clock Time (ns),76889152365
Tensor Core Kernel Utilization %,4.4
GPU Utilization %,0.1
Tensor Core Kernel Duration %,0.0
Non-Tensor Core Kernel Duration %,0.1
Memory Duration %,0.1
Dataloader Duration %,0.0
IO Duration %,0.0
CPU Duration %,13.4
Other Duration %,86.4

Iterations
Total Iterations,1
Aggregated Iterations,1
Start Iteration,0
Stop Iteration,0
Average Iteration Time (ns),76889152365.0
Iteration Time Standard Deviation,0.0

All Ops
,GPU Time (ns),CPU Time (ns),# Ops
All ops,532895939,41534863079,186984
Ops using TC,57082808,166169383,540
Ops eligible for TC but not using,199195482,3186501350,4563
All other ops,276617649,38182192346,181881

All Kernels
,GPU Time (ns),CPU Time (ns),# Kernels
All kernels,535386400,1083104808,47
Kernels using TC,11449126,6089843,2
Memory,218426675,844890007,2
All other kernels,305510599,232124958,43
