Op Type Summary Report
Op Type,# Ops,# Calls,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"adaptive_avg_pool2d",42,42,7755623,184657.7,167278,304026,201951,4808.4,4512,5120,7239621,172371.9,155328,292326,0,0.0,0,0
"avg_pool2d",126,126,4372569,34702.9,27970,109738,620188,4922.1,3999,6784,2918531,23162.9,18209,95018,0,0.0,0,0
"batch_norm",5103,5103,2251921525,441293.7,325745,7301978,22041074,4319.2,3071,17888,2177284253,426667.5,294626,7288408,527715,103.4,0,32768
"cat",2604,2604,118284300,45424.1,36179,1261805,19237651,7387.7,2400,16832,83650880,32124.0,26159,246137,0,0.0,0,0
"conv2d",5040,5040,2620614304,519963.2,66219,1966772920,255800461,50754.1,12928,3988224,486343826,96496.8,53990,79163423,2052392228,407220.7,0,1959711647
"copy_",61215,61215,5930459605,96879.2,3500,26422897,41676947,680.8,0,9440,5761198203,94114.2,3500,26422897,0,0.0,0,0
"cpu",42,42,2121253,50506.0,42600,83099,65023,1548.2,1344,2016,907209,21600.2,17890,42749,0,0.0,0,0
"cuda",30723,30723,3828808831,124623.5,28560,2530786609,114209729,3717.4,1151,281184,702038200,22850.6,15530,94065533,0,0.0,0,0
"cudaMemcpyAsync_v3020",5082,5082,71309584,14031.8,10980,137628,7877686,1550.1,1343,2016,0,0.0,0,0,0,0.0,0,0
"cudaStreamSynchronize_v3020",5082,5082,9410252,1851.7,1190,21400,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"dropout",21,21,2749682,130937.2,126288,163438,0,0.0,0,0,2749682,130937.2,126288,163438,0,0.0,0,0
"fill_",20412,20412,99409776,4870.2,3460,124909,0,0.0,0,0,99409776,4870.2,3460,124909,0,0.0,0,0
"get_device",21,21,30860,1469.5,1190,2030,0,0.0,0,0,30860,1469.5,1190,2030,0,0.0,0,0
"linear",63,63,732056429,11619943.3,181267,717556951,477829,7584.6,6464,9632,16581273,263194.8,159107,4232218,719918094,11427271.3,17568,717260942
"load",84,84,20124008737,239571532.6,186855411,403229520,53774833,640176.6,0,2665763,19798814543,235700173.1,186855411,387784895,7294913599,86844209.5,0,398608165
"manual_seed",42,42,2423166,57694.4,33310,222607,0,0.0,0,0,2191899,52188.1,30669,222607,0,0.0,0,0
"max_pool2d",42,42,15901542,378608.1,347695,630822,460896,10973.7,10784,11263,15289519,364036.2,333156,615562,0,0.0,0,0
"normal_",5040,5040,1436291206,284978.4,43759,2723666,0,0.0,0,0,1436291206,284978.4,43759,2723666,0,0.0,0,0
"numpy",42,42,230718,5493.3,4710,6860,0,0.0,0,0,230718,5493.3,4710,6860,0,0.0,0,0
"ones",5103,5103,38042457,7454.9,6140,122779,0,0.0,0,0,38042457,7454.9,6140,122779,0,0.0,0,0
"relu",5082,5082,2057165877,404794.5,267957,16798038,16335222,3214.3,2303,8864,2001992983,393938.0,257617,16787349,0,0.0,0,0
"sigmoid",42,42,1568312,37340.8,33590,89599,116449,2772.6,2751,2880,1063107,25312.1,22199,73479,0,0.0,0,0
"tensor",10185,10185,82635847,8113.5,6290,125928,0,0.0,0,0,82635847,8113.5,6290,125928,0,0.0,0,0
"uniform_",5250,5250,2031159458,386887.5,3590,7106201,0,0.0,0,0,2031159458,386887.5,3590,7106201,0,0.0,0,0
"view",63,63,653961,10380.3,7230,17750,0,0.0,0,0,653961,10380.3,7230,17750,0,0.0,0,0
"zero_",15309,15309,36761138,2401.3,1780,121448,0,0.0,0,0,36761138,2401.3,1780,121448,0,0.0,0,0
"zeros",5124,5124,28716067,5604.2,4490,125668,0,0.0,0,0,28716067,5604.2,4490,125668,0,0.0,0,0
