Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/",9839,606,263,31272990765,31272990765.0,31272990765,31272990765,1117262868,1117262868.0,1117262868,1117262868,11046542930,11046542930.0,11046542930,11046542930,16206592750,16206592750.0,16206592750,16206592750
"/Thread::_bootstrap/",1736,484,205,22966299494,22966299494.0,22966299494,22966299494,391731973,391731973.0,391731973,391731973,8745080643,8745080643.0,8745080643,8745080643,11792377798,11792377798.0,11792377798,11792377798
"/Thread::_bootstrap/Thread::_bootstrap_inner/",1736,484,205,22966299494,22966299494.0,22966299494,22966299494,391731973,391731973.0,391731973,391731973,8745080643,8745080643.0,8745080643,8745080643,11792377798,11792377798.0,11792377798,11792377798
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/",1736,484,205,22966299494,22966299494.0,22966299494,22966299494,391731973,391731973.0,391731973,391731973,8745080643,8745080643.0,8745080643,8745080643,11792377798,11792377798.0,11792377798,11792377798
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/",1736,484,205,22966299494,22966299494.0,22966299494,22966299494,391731973,391731973.0,391731973,391731973,8745080643,8745080643.0,8745080643,8745080643,11792377798,11792377798.0,11792377798,11792377798
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/autocast::__exit__/",4,0,0,18380,18380.0,18380,18380,0,0.0,0,0,18380,18380.0,18380,18380,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/autocast::__init__/",8,0,0,67510,67510.0,67510,67510,0,0.0,0,0,67510,67510.0,67510,67510,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/",1724,484,205,22966213604,22966213604.0,22966213604,22966213604,391731973,391731973.0,391731973,391731973,8744994753,8744994753.0,8744994753,8744994753,11792377798,11792377798.0,11792377798,11792377798
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/",1724,484,205,22966213604,22966213604.0,22966213604,22966213604,391731973,391731973.0,391731973,391731973,8744994753,8744994753.0,8744994753,8744994753,11792377798,11792377798.0,11792377798,11792377798
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/AdaptiveAvgPool2d::_call_impl[3]/",4,0,0,1119860,1119860.0,1119860,1119860,25823,25823.0,25823,25823,1053041,1053041.0,1053041,1053041,0,0.0,0,0
