Op Type Summary Report
Op Type,# Ops,# Calls,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"CatArrayBatchedCopy",7,7,90648,12949.7,5030,34970,259970,37138.6,27841,48128,0,0.0,0,0,0,0.0,0,0
"DataLoader",2,2,4237370284,2118685142.0,175328,4237194956,524350945,262175472.5,0,524350945,572699095,286349547.5,175328,572523767,3709321864,1854660932.0,0,3709321864
"NCCL",31,31,804559264,25953524.6,330,804227467,10987523,354436.2,0,4561898,236384115,7625294.0,330,236244918,737866919,23802158.7,0,737866919
"__gt__",21,21,265219,12629.5,10130,52840,0,0.0,0,0,265219,12629.5,10130,52840,0,0.0,0,0
"__mul__",42,42,491404,11700.1,8690,64540,0,0.0,0,0,491404,11700.1,8690,64540,0,0.0,0,0
"__rsub__",19,19,243100,12794.7,10900,38990,0,0.0,0,0,243100,12794.7,10900,38990,0,0.0,0,0
"adaptive_avg_pool2d",5,5,1300248,260049.6,180388,388847,41471,8294.2,4960,15648,1220589,244117.8,167548,365587,0,0.0,0,0
"argmax",21,21,291168,13865.1,8270,86780,0,0.0,0,0,291168,13865.1,8270,86780,0,0.0,0,0
"avg_pool2d",15,15,13080875,872058.3,39480,8815082,404963,26997.5,5728,100065,884161,58944.1,28110,193338,0,0.0,0,0
"batch_norm",605,605,653027344,1079384.0,367417,25460283,11721212,19373.9,3391,280930,373957691,618111.9,353087,2959004,0,0.0,0,0
"cat",310,310,47813531,154237.2,37610,12993155,8251284,26617.0,3200,282337,17386452,56085.3,27210,624555,0,0.0,0,0
"clear_autocast_cache",4,4,18380,4595.0,2480,6860,0,0.0,0,0,18380,4595.0,2480,6860,0,0.0,0,0
"conv2d",600,600,22517878753,37529797.9,71970,6629400691,552086042,920143.4,28064,19164470,8200326785,13667211.3,58370,4072588512,11985412126,19975686.9,0,2905759190
"copy_",2915,2915,290441057,99636.7,3520,40561650,1912840,656.2,0,8960,282592678,96944.3,3520,40561650,0,0.0,0,0
"cpu",2,2,288297,144148.5,63669,224628,4032,2016.0,1760,2272,186408,93204.0,25480,160928,0,0.0,0,0
"cuda",1463,1463,1857194367,1269442.5,7330,1785524810,5076114,3469.7,0,205441,31979751,21859.0,7330,4726157,0,0.0,0,0
"cudaEventQuery_v3020",2,2,7370,3685.0,3430,3940,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"cudaMemcpyAsync_v3020",251,251,3666893,14609.1,11320,71650,1093957,4358.4,1184,285185,0,0.0,0,0,0,0.0,0,0
