Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/",9313,486,87,13907067483,13907067483.0,13907067483,13907067483,286995202,286995202.0,286995202,286995202,5806907974,5806907974.0,5806907974,5806907974,6034750352,6034750352.0,6034750352,6034750352
"/Thread::_bootstrap/",1746,486,87,8549546015,8549546015.0,8549546015,8549546015,273640828,273640828.0,273640828,273640828,2101799879,2101799879.0,2101799879,2101799879,5650194080,5650194080.0,5650194080,5650194080
"/Thread::_bootstrap/Thread::_bootstrap_inner/",1746,486,87,8549546015,8549546015.0,8549546015,8549546015,273640828,273640828.0,273640828,273640828,2101799879,2101799879.0,2101799879,2101799879,5650194080,5650194080.0,5650194080,5650194080
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/",1746,486,87,8549546015,8549546015.0,8549546015,8549546015,273640828,273640828.0,273640828,273640828,2101799879,2101799879.0,2101799879,2101799879,5650194080,5650194080.0,5650194080,5650194080
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/",4,0,0,54869450,54869450.0,54869450,54869450,0,0.0,0,0,42324580,42324580.0,42324580,42324580,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/Queue::get/",2,0,0,54019,54019.0,54019,54019,0,0.0,0,0,54019,54019.0,54019,54019,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/Queue::get/rebuild_tensor/",2,0,0,54019,54019.0,54019,54019,0,0.0,0,0,54019,54019.0,54019,54019,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/Queue::get/rebuild_tensor/_rebuild_tensor/",2,0,0,54019,54019.0,54019,54019,0,0.0,0,0,54019,54019.0,54019,54019,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_pin_memory_loop/pin_memory/",1,0,0,18160351,18160351.0,18160351,18160351,0,0.0,0,0,5615481,5615481.0,5615481,5615481,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/",1742,486,87,8494676565,8494676565.0,8494676565,8494676565,273640828,273640828.0,273640828,273640828,2059475299,2059475299.0,2059475299,2059475299,5650194080,5650194080.0,5650194080,5650194080
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/autocast::__exit__/",4,0,0,12890,12890.0,12890,12890,0,0.0,0,0,12890,12890.0,12890,12890,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/autocast::__init__/",8,0,0,60110,60110.0,60110,60110,0,0.0,0,0,60110,60110.0,60110,60110,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/",1730,486,87,8494603565,8494603565.0,8494603565,8494603565,273640828,273640828.0,273640828,273640828,2059402299,2059402299.0,2059402299,2059402299,5650194080,5650194080.0,5650194080,5650194080
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/",1730,486,87,8494603565,8494603565.0,8494603565,8494603565,273640828,273640828.0,273640828,273640828,2059402299,2059402299.0,2059402299,2059402299,5650194080,5650194080.0,5650194080,5650194080
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/AdaptiveAvgPool2d::_call_impl[3]/",2,0,0,715103,715103.0,715103,715103,17984,17984.0,17984,17984,671025,671025.0,671025,671025,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/AdaptiveAvgPool2d::_call_impl[3]/AdaptiveAvgPool2d::forward/",2,0,0,715103,715103.0,715103,715103,17984,17984.0,17984,17984,671025,671025.0,671025,671025,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/AdaptiveAvgPool2d::_call_impl[6]/",2,0,0,716223,716223.0,716223,716223,19008,19008.0,19008,19008,680364,680364.0,680364,680364,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/AdaptiveAvgPool2d::_call_impl[6]/AdaptiveAvgPool2d::forward/",2,0,0,716223,716223.0,716223,716223,19008,19008.0,19008,19008,680364,680364.0,680364,680364,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Dropout::_call_impl[9]/",2,0,0,357917,357917.0,357917,357917,0,0.0,0,0,357917,357917.0,357917,357917,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Dropout::_call_impl[9]/Dropout::forward/",2,0,0,357917,357917.0,357917,357917,0,0.0,0,0,357917,357917.0,357917,357917,0,0.0,0,0
