Iteration Report
Iteration,Op ID,Op Name,Direction,Op Type,Kernel Name,Device ID,GPU Start Time (ns),GPU Duration (ns),API Call Start (ns),API Call Time (ns),Uses TC,Grid X,Grid Y,Grid Z,Block X,Block Y,Block Z,Data Types,Input Shapes,Parameters,Output Shapes,Long Kernel Name
0,"ADAPTIVE_AVG_POOL2D_1","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/AdaptiveAvgPool2d::_call_impl[3]/AdaptiveAvgPool2d::forward/adaptive_avg_pool2d",fprop,"adaptive_avg_pool2d","reduce_kernel",0,13904151125,9248,13904120842,31379,no,704,1,1,32,16,1,float32,"<11, 1024, 8, 8>","","","void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, (int)4>>(T3)"
0,"ADAPTIVE_AVG_POOL2D_2","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/AdaptiveAvgPool2d::_call_impl[3]/AdaptiveAvgPool2d::forward/adaptive_avg_pool2d",fprop,"adaptive_avg_pool2d","reduce_kernel",3,14375513510,8736,14375500275,12699,no,640,1,1,32,16,1,float32,"<10, 1024, 8, 8>","","","void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, (int)4>>(T3)"
0,"ADAPTIVE_AVG_POOL2D_3","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/AdaptiveAvgPool2d::_call_impl[6]/AdaptiveAvgPool2d::forward/adaptive_avg_pool2d",fprop,"adaptive_avg_pool2d","reduce_kernel",3,14859869170,8576,14859847934,20960,no,640,1,1,32,16,1,float32,"<10, 1024, 8, 8>","","","void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, (int)4>>(T3)"
0,"ADAPTIVE_AVG_POOL2D_4","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/AdaptiveAvgPool2d::_call_impl[6]/AdaptiveAvgPool2d::forward/adaptive_avg_pool2d",fprop,"adaptive_avg_pool2d","reduce_kernel",0,14867671984,10432,14867656916,14899,no,704,1,1,32,16,1,float32,"<11, 1024, 8, 8>","","","void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, (int)4>>(T3)"
0,"LINEAR_4","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Linear::_call_impl[10]/Linear::forward/linear",fprop,"linear","kernel",3,14864196433,3584,14864187316,9500,no,1,1,1,8,16,1,float32,"<N:10, K:64>; <M:1, K:64>; <1>","","<N:10, M:1>","std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T12)"
0,"LINEAR_4","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Linear::_call_impl[10]/Linear::forward/linear",fprop,"linear","unrolled_elementwise_kernel",3,14864137041,2656,14864122057,14689,no,1,1,1,64,1,1,float32,"<N:10, K:64>; <M:1, K:64>; <1>","","<N:10, M:1>","void at::native::unrolled_elementwise_kernel<at::native::copy_device_to_device(at::TensorIterator &, bool)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, OffsetCalculator<(int)1, unsigned int, (bool)0>, OffsetCalculator<(int)1, unsigned int, (bool)0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)"
0,"LINEAR_6","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Linear::_call_impl[10]/Linear::forward/linear",fprop,"linear","kernel",0,14869496184,3872,14869486340,9139,no,1,1,1,8,16,1,float32,"<N:11, K:64>; <M:1, K:64>; <1>","","<N:11, M:1>","std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T12)"
0,"LINEAR_6","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Linear::_call_impl[10]/Linear::forward/linear",fprop,"linear","unrolled_elementwise_kernel",0,14869470584,2912,14869458450,11630,no,1,1,1,64,1,1,float32,"<N:11, K:64>; <M:1, K:64>; <1>","","<N:11, M:1>","void at::native::unrolled_elementwise_kernel<at::native::copy_device_to_device(at::TensorIterator &, bool)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, OffsetCalculator<(int)1, unsigned int, (bool)0>, OffsetCalculator<(int)1, unsigned int, (bool)0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)"
0,"LINEAR_1","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Linear::_call_impl[4]/Linear::forward/linear",fprop,"linear","ampere_sgemm_32x32_sliced1x4_tn",0,13909213547,5856,13909195347,23340,no,1,1,16,128,1,1,float32,"<N:11, K:1024>; <M:7, K:1024>; <7>","","<N:11, M:7>","ampere_sgemm_32x32_sliced1x4_tn"
0,"LINEAR_1","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Linear::_call_impl[4]/Linear::forward/linear",fprop,"linear","splitKreduce_kernel",0,13909237131,3936,13909226917,11180,no,1,1,1,32,16,1,float32,"<N:11, K:1024>; <M:7, K:1024>; <7>","","<N:11, M:7>","void splitKreduce_kernel<float, float, float, float, (bool)1, (bool)0, (bool)0>(cublasSplitKParams<T3>, const T1 *, const T2 *, T2 *, const T3 *, const T3 *, const T4 *, const T1 *, T4 *, void *, long, T3 *, int *)"
