Op Type Summary Report
Op Type,# Ops,# Calls,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"CatArrayBatchedCopy",14,14,160969,11497.8,4910,38829,494274,35305.3,25729,48352,0,0.0,0,0,0,0.0,0,0
"DataLoader",2,2,1703423746,851711873.0,146977513,1556446233,0,0.0,0,0,1703423746,851711873.0,146977513,1556446233,0,0.0,0,0
"NCCL",41,41,346829123,8459246.9,310,346470887,8896180,216980.0,0,1840228,200406823,4887971.3,310,200235775,58950382,1437814.2,0,58950382
"adaptive_avg_pool2d",4,4,1431326,357831.5,183108,531995,36992,9248.0,8576,10432,1351389,337847.2,170409,500616,0,0.0,0,0
"avg_pool2d",12,12,1311921,109326.8,33629,233368,394909,32909.1,14688,58432,1110964,92580.3,23710,220468,0,0.0,0,0
"batch_norm",484,484,435949107,900721.3,370507,9434948,11397490,23548.5,3744,169505,405131497,837048.5,355817,2620548,0,0.0,0,0
"cat",248,248,30095553,121353.0,37270,921222,7774355,31348.2,3968,148384,26362682,106301.1,27190,906942,0,0.0,0,0
"clear_autocast_cache",4,4,12890,3222.5,2300,4100,0,0.0,0,0,12890,3222.5,2300,4100,0,0.0,0,0
"conv2d",480,480,7646006454,15929180.1,70640,3771997265,243153143,506569.0,25952,6935613,1256947002,2618639.6,57080,997764058,5645632178,11761733.7,0,2605227527
"copy_",2915,2915,490999352,168438.9,3540,48222557,1978553,678.7,0,8896,483346097,165813.4,3540,48222557,0,0.0,0,0
"cpu",2,2,144578,72289.0,68789,75789,3935,1967.5,1599,2336,80618,40309.0,33199,47419,0,0.0,0,0
"cuda",1463,1463,1912440081,1307204.4,28869,1844143444,8666047,5923.5,1183,1822440,289146744,197639.6,15910,261510091,0,0.0,0,0
"cudaMemcpyAsync_v3020",248,248,3537199,14262.9,11400,43740,1345387,5424.9,1472,494242,0,0.0,0,0,0,0.0,0,0
"cudaStreamSynchronize_v3020",242,242,419536,1733.6,1200,4960,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"cudaStreamWaitEvent_v3020",8,8,61878,7734.8,3620,11250,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"dropout",2,2,357917,178958.5,142549,215368,0,0.0,0,0,357917,178958.5,142549,215368,0,0.0,0,0
"fill_",972,972,5224303,5374.8,4110,34419,0,0.0,0,0,5224303,5374.8,4110,34419,0,0.0,0,0
"float",2,2,1289248,644624.0,38739,1250509,148480,74240.0,74112,74368,64060,32030.0,22320,41740,0,0.0,0,0
"get_autocast_gpu_dtype",4,4,47680,11920.0,5620,22140,0,0.0,0,0,47680,11920.0,5620,22140,0,0.0,0,0
"get_device",8,8,16930,2116.2,1300,3690,0,0.0,0,0,16930,2116.2,1300,3690,0,0.0,0,0
"is_autocast_cache_enabled",4,4,12430,3107.5,2500,3590,0,0.0,0,0,12430,3107.5,2500,3590,0,0.0,0,0
"linear",6,6,7381195,1230199.2,198838,4143284,66434,11072.3,6240,14338,3816327,636054.5,178069,1498927,4561902,760317.0,22688,3539631
"load",4,4,1050668691,262667172.8,208387786,389716548,2554319,638579.8,0,2554319,1030523668,257630917.0,208387786,369571525,384556272,96139068.0,0,384556272
"manual_seed",2,2,550525,275262.5,133379,417146,0,0.0,0,0,540825,270412.5,123679,417146,0,0.0,0,0
"max_pool2d",4,4,3883215,970803.8,443386,1478417,468194,117048.5,110784,122529,3798085,949521.2,429486,1459577,0,0.0,0,0
"normal_",240,240,68022391,283426.6,44130,2577808,0,0.0,0,0,68022391,283426.6,44130,2577808,0,0.0,0,0
"numpy",2,2,16990,8495.0,6710,10280,0,0.0,0,0,16990,8495.0,6710,10280,0,0.0,0,0
"ones",243,243,2047416,8425.6,6900,51090,0,0.0,0,0,2047416,8425.6,6900,51090,0,0.0,0,0
"pin_memory",1,1,18160351,18160351.0,18160351,18160351,0,0.0,0,0,5615481,5615481.0,5615481,5615481,0,0.0,0,0
"relu",484,484,367529402,759358.3,301198,2021442,10343935,21371.8,2305,146401,359893141,743580.9,290628,2006942,0,0.0,0,0
"set_",1,1,19660,19660.0,19660,19660,0,0.0,0,0,19660,19660.0,19660,19660,0,0.0,0,0
"set_num_threads",1,1,36655080,36655080.0,36655080,36655080,0,0.0,0,0,36655080,36655080.0,36655080,36655080,0,0.0,0,0
"set_vital",1,1,10150,10150.0,10150,10150,0,0.0,0,0,10150,10150.0,10150,10150,0,0.0,0,0
"sigmoid",3,3,194139,64713.0,34200,86080,8416,2805.3,2592,3040,147049,49016.3,22730,73370,0,0.0,0,0
"tensor",486,486,4286670,8820.3,7280,34359,0,0.0,0,0,4286670,8820.3,7280,34359,0,0.0,0,0
"uniform_",250,250,114613046,458452.2,4350,7495425,0,0.0,0,0,114613046,458452.2,4350,7495425,0,0.0,0,0
"view",5,5,552465,110493.0,11550,282677,0,0.0,0,0,552465,110493.0,11550,282677,0,0.0,0,0
"zero_",729,729,2093125,2871.2,2110,13170,0,0.0,0,0,2093125,2871.2,2110,13170,0,0.0,0,0
"zeros",245,245,1619456,6610.0,5090,58100,0,0.0,0,0,1619456,6610.0,5090,58100,0,0.0,0,0
