System Config
GPU Count,4
GPU Name(s),NVIDIA RTX A5000, NVIDIA RTX A5000, NVIDIA RTX A5000, NVIDIA RTX A5000
CPU Model,AMD EPYC 7402 24-Core Processor
GPU Driver Version,470.57.02
Framework,PyTorch 1.11.0a0+b6df043
CUDA Version,11.5
cuDNN Version,8.3.0
NSys Version,2021.3.2.12-9700a21
DLProf Version,v1.8.0
DLProf Build,29839685

Summary Report
Wall Clock Time (ns),14421155486
Tensor Core Kernel Utilization %,3.6
GPU Utilization %,0.4
Tensor Core Kernel Duration %,0.0
Non-Tensor Core Kernel Duration %,0.4
Memory Duration %,0.0
Dataloader Duration %,5.4
IO Duration %,0.0
CPU Duration %,12.7
Other Duration %,81.4

Iterations
Total Iterations,1
Aggregated Iterations,1
Start Iteration,0
Stop Iteration,0
Average Iteration Time (ns),14421155486.0
Iteration Time Standard Deviation,0.0

All Ops
,GPU Time (ns),CPU Time (ns),# Ops
All ops,270669553,10556244801,13812
Ops using TC,162290700,348106298,110
Ops eligible for TC but not using,39704511,2448311826,253
All other ops,68674342,7759826677,13449

All Kernels
,GPU Time (ns),CPU Time (ns),# Kernels
All kernels,355824225,123706976,48
Kernels using TC,10460633,1081185,3
Memory,25170184,75013338,2
All other kernels,320193408,47612453,43
