Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/",5499,484,226,33666497169,33666497169.0,33666497169,33666497169,431440464,431440464.0,431440464,431440464,9998837083,9998837083.0,9998837083,9998837083,14148005119,14148005119.0,14148005119,14148005119
"/Thread::_bootstrap/",1728,484,226,30516393285,30516393285.0,30516393285,30516393285,422124944,422124944.0,422124944,422124944,9311360742,9311360742.0,9311360742,9311360742,13828317219,13828317219.0,13828317219,13828317219
"/Thread::_bootstrap/Thread::_bootstrap_inner/",1728,484,226,30516393285,30516393285.0,30516393285,30516393285,422124944,422124944.0,422124944,422124944,9311360742,9311360742.0,9311360742,9311360742,13828317219,13828317219.0,13828317219,13828317219
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/",1728,484,226,30516393285,30516393285.0,30516393285,30516393285,422124944,422124944.0,422124944,422124944,9311360742,9311360742.0,9311360742,9311360742,13828317219,13828317219.0,13828317219,13828317219
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/",1728,484,226,30516393285,30516393285.0,30516393285,30516393285,422124944,422124944.0,422124944,422124944,9311360742,9311360742.0,9311360742,9311360742,13828317219,13828317219.0,13828317219,13828317219
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/autocast::__exit__/",4,0,0,16210,16210.0,16210,16210,0,0.0,0,0,16210,16210.0,16210,16210,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/",1724,484,226,30516377075,30516377075.0,30516377075,30516377075,422124944,422124944.0,422124944,422124944,9311344532,9311344532.0,9311344532,9311344532,13828317219,13828317219.0,13828317219,13828317219
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/",1724,484,226,30516377075,30516377075.0,30516377075,30516377075,422124944,422124944.0,422124944,422124944,9311344532,9311344532.0,9311344532,9311344532,13828317219,13828317219.0,13828317219,13828317219
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/AdaptiveAvgPool2d::_call_impl[3]/",4,0,0,2394249,2394249.0,2394249,2394249,29536,29536.0,29536,29536,2229571,2229571.0,2229571,2229571,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/AdaptiveAvgPool2d::_call_impl[3]/AdaptiveAvgPool2d::forward/",4,0,0,2394249,2394249.0,2394249,2394249,29536,29536.0,29536,29536,2229571,2229571.0,2229571,2229571,0,0.0,0,0
"/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_stroke::_call_impl/densenet121_stroke::forward/Linear::_call_impl[4]/",4,4,0,4909699881,4909699881.0,4909699881,4909699881,54273,54273.0,54273,54273,370419260,370419260.0,370419260,370419260,4906283049,4906283049.0,4906283049,4906283049
