Op Type Summary Report
Op Type,# Ops,# Calls,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"CatArrayBatchedCopy",7,7,91378,13054.0,5360,34450,260257,37179.6,28256,47809,0,0.0,0,0,0,0.0,0,0
"NCCL",31,31,644697419,20796690.9,270,644326142,8570094,276454.6,0,3966695,226727738,7313798.0,270,226592119,163674115,5279810.2,0,163674115
"adaptive_avg_pool2d",4,4,2394249,598562.2,186979,1283259,29536,7384.0,6432,8320,2229571,557392.8,172809,1268709,0,0.0,0,0
"avg_pool2d",12,12,1734223,144518.6,47940,424536,260544,21712.0,7648,40192,1432474,119372.8,32590,391156,0,0.0,0,0
"batch_norm",484,484,1600909899,3307665.1,371477,121975681,7453753,15400.3,3584,96032,611682788,1263807.4,357117,99359035,0,0.0,0,0
"cat",248,248,185347755,747370.0,40250,23737726,5190223,20928.3,3392,95168,35991621,145127.5,29550,5412452,0,0.0,0,0
"clear_autocast_cache",4,4,16210,4052.5,3770,4430,0,0.0,0,0,16210,4052.5,3770,4430,0,0.0,0,0
"conv2d",480,480,23389056613,48727201.3,92969,6695740309,402634030,838820.9,27392,6895996,7885087050,16427264.7,74699,3651488637,8922034170,18587571.2,2657,1738306312
"copy_",1454,1454,79711500,54822.2,3610,33090082,1988731,1367.8,0,9185,71890592,49443.3,3610,33090082,0,0.0,0,0
"cpu",1,1,90479,90479.0,90479,90479,1920,1920.0,1920,1920,57400,57400.0,57400,57400,0,0.0,0,0
"cuda",728,728,2455418528,3372827.6,28380,2422396113,4795746,6587.6,1184,2266856,17765005,24402.5,15690,4585010,0,0.0,0,0
"cudaMemcpyAsync_v3020",249,249,3493492,14030.1,11060,77860,1276330,5125.8,1472,332609,0,0.0,0,0,0,0.0,0,0
"cudaStreamSynchronize_v3020",242,242,425196,1757.0,1160,6130,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"cudaStreamWaitEvent_v3020",12,12,80519,6709.9,2260,11300,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"fill_",485,485,2309391,4761.6,3680,24299,0,0.0,0,0,2309391,4761.6,3680,24299,0,0.0,0,0
"get_device",6,6,18770,3128.3,1840,5570,0,0.0,0,0,18770,3128.3,1840,5570,0,0.0,0,0
"linear",4,4,4909699881,1227424970.2,813614595,2334694014,54273,13568.2,12576,14112,370419260,92604815.0,1596135,243398027,4906283049,1226570762.2,811052401,2334414682
"load",2,2,517399195,258699597.5,193111759,324287436,2525731,1262865.5,0,2525731,500316802,250158401.0,193111759,307205043,319687900,159843950.0,0,319687900
"manual_seed",1,1,195708,195708.0,195708,195708,0,0.0,0,0,195708,195708.0,195708,195708,0,0.0,0,0
"max_pool2d",4,4,13949345,3487336.2,775243,10762053,296193,74048.2,57632,80160,3933214,983303.5,749843,1247479,0,0.0,0,0
"normal_",120,120,34165746,284714.5,44139,2560207,0,0.0,0,0,34165746,284714.5,44139,2560207,0,0.0,0,0
"numpy",1,1,6770,6770.0,6770,6770,0,0.0,0,0,6770,6770.0,6770,6770,0,0.0,0,0
"ones",121,121,947323,7829.1,6580,40209,0,0.0,0,0,947323,7829.1,6580,40209,0,0.0,0,0
"relu",484,484,413181710,853681.2,322537,2632906,6206392,12823.1,2433,94176,400465154,827407.3,301417,2611466,0,0.0,0,0
"sigmoid",1,1,113459,113459.0,113459,113459,3392,3392.0,3392,3392,75819,75819.0,75819,75819,0,0.0,0,0
"tensor",242,242,2004668,8283.8,6610,43240,0,0.0,0,0,2004668,8283.8,6610,43240,0,0.0,0,0
"uniform_",124,124,56122797,452603.2,3850,7078026,0,0.0,0,0,56122797,452603.2,3850,7078026,0,0.0,0,0
"view",4,4,103400,25850.0,11330,61640,0,0.0,0,0,103400,25850.0,11330,61640,0,0.0,0,0
"zero_",363,363,832603,2293.7,1800,11440,0,0.0,0,0,832603,2293.7,1800,11440,0,0.0,0,0
"zeros",122,122,766947,6286.5,4810,41510,0,0.0,0,0,766947,6286.5,4810,41510,0,0.0,0,0
