System Config
GPU Count,4
GPU Name(s),NVIDIA RTX A5000, NVIDIA RTX A5000, NVIDIA RTX A5000, NVIDIA RTX A5000
CPU Model,AMD EPYC 7402 24-Core Processor
GPU Driver Version,470.57.02
Framework,PyTorch 1.10.0a0+3fd9dcf
CUDA Version,11.4
cuDNN Version,8.2.2
NSys Version,2021.3.2.12-9700a21
DLProf Version,v1.8.0
DLProf Build,29839685

Summary Report
Wall Clock Time (ns),21466253701
Tensor Core Kernel Utilization %,1.2
GPU Utilization %,0.5
Tensor Core Kernel Duration %,0.0
Non-Tensor Core Kernel Duration %,0.5
Memory Duration %,0.0
Dataloader Duration %,0.0
IO Duration %,0.0
CPU Duration %,52.7
Other Duration %,46.7

Iterations
Total Iterations,1
Aggregated Iterations,1
Start Iteration,0
Stop Iteration,0
Average Iteration Time (ns),21466253701.0
Iteration Time Standard Deviation,0.0

All Ops
,GPU Time (ns),CPU Time (ns),# Ops
All ops,441547145,34315285173,6040
Ops using TC,280805394,3556689283,226
Ops eligible for TC but not using,121882909,24742067211,258
All other ops,38858842,6016528679,5556

All Kernels
,GPU Time (ns),CPU Time (ns),# Kernels
All kernels,466078427,146810285,50
Kernels using TC,5259689,2220374,2
Memory,11420813,34173416,3
All other kernels,449397925,110416495,45
