Kernel Report
Kernel Name,Op ID,Op Name,Direction,Uses TC,Total GPU Time (ns),Avg GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total API Time (ns),Avg API Time (ns),Min API Time (ns),Max API Time (ns)
"reduce_kernel","ADAPTIVE_AVG_POOL2D_1","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/AdaptiveAvgPool2d::_call_impl[2]/AdaptiveAvgPool2d::forward/adaptive_avg_pool2d",fprop,no,19008,19008.0,19008,19008,13689,13689.0,13689,13689
"batch_norm_transform_input_channels_last_kernel","BATCH_NORM_122","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/BatchNorm1d::_call_impl[4]/BatchNorm1d::forward/batch_norm",fprop,no,3712,3712.0,3712,3712,11360,11360.0,11360,11360
"vectorized_elementwise_kernel","BATCH_NORM_122","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/BatchNorm1d::_call_impl[4]/BatchNorm1d::forward/batch_norm",fprop,no,2784,2784.0,2784,2784,12400,12400.0,12400,12400
"ampere_sgemm_32x32_sliced1x4_tn","LINEAR_1","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Linear::_call_impl[3]/Linear::forward/linear",fprop,no,6047,6047.0,6047,6047,30130,30130.0,30130,30130
"splitKreduce_kernel","LINEAR_1","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Linear::_call_impl[3]/Linear::forward/linear",fprop,no,3487,3487.0,3487,3487,9300,9300.0,9300,9300
"unrolled_elementwise_kernel","LINEAR_1","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Linear::_call_impl[3]/Linear::forward/linear",fprop,no,3871,3871.0,3871,3871,14280,14280.0,14280,14280
"kernel","LINEAR_2","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Linear::_call_impl[7]/Linear::forward/linear",fprop,no,3776,3776.0,3776,3776,7490,7490.0,7490,7490
"unrolled_elementwise_kernel","LINEAR_2","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Linear::_call_impl[7]/Linear::forward/linear",fprop,no,3168,3168.0,3168,3168,14990,14990.0,14990,14990
"vectorized_elementwise_kernel","RELU_121","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/ReLU::_call_impl[5]/ReLU::forward/relu",fprop,no,2368,2368.0,2368,2368,14080,14080.0,14080,14080
"ampere_cgemm_64x32_tn","CONV2D_14","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,1196548,1196548.0,1196548,1196548,5010,5010.0,5010,5010
"ampere_gcgemm_64x64_nt","CONV2D_14","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,903491,451745.5,401153,502338,10250,5125.0,4700,5550
"ampere_scudnn_128x64_relu_interior_nn_v1","CONV2D_14","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,968068,484034.0,483586,484482,10470,5235.0,5100,5370
"computeOffsetsKernel","CONV2D_14","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,6240,3120.0,3104,3136,16650,8325.0,7770,8880
"explicit_convolve_sgemm","CONV2D_14","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,582690,582690.0,582690,582690,6250,6250.0,6250,6250
"fft1d_c2r_32","CONV2D_14","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,202561,101280.5,91008,111553,9119,4559.5,4530,4589
"fft1d_r2c_32","CONV2D_14","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,491235,163745.0,21409,236417,19460,6486.7,5080,7480
"fft2d_c2r_64x64","CONV2D_14","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,176449,176449.0,176449,176449,4820,4820.0,4820,4820
"fft2d_r2c_64x64","CONV2D_14","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,1246245,623122.5,347457,898788,10370,5185.0,5180,5190
"flip_filter","CONV2D_14","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,27840,27840.0,27840,27840,10219,10219.0,10219,10219
"im2col4d_kernel","CONV2D_14","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,437634,437634.0,437634,437634,7749,7749.0,7749,7749
"implicit_convolve_sgemm","CONV2D_14","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,1299780,649890.0,649346,650434,19200,9600.0,7100,12100
"transpose_readWrite_alignment_kernel","CONV2D_14","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,2308265,769421.7,176225,1766087,15380,5126.7,4620,5890
"ampere_cgemm_64x32_tn","CONV2D_39","/module/tumor_predict/densenet121_change_avg::_call_impl/densenet121_change_avg::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,1206916,1206916.0,1206916,1206916,8550,8550.0,8550,8550
