System Config,,,,
GPU Count,4,,,
GPU Name(s),NVIDIA RTX A5000, NVIDIA RTX A5000, NVIDIA RTX A5000, NVIDIA RTX A5000
CPU Model,AMD EPYC 7402 24-Core Processor,,,
GPU Driver Version,470.57.02,,,
Framework,PyTorch 1.10.0a0+3fd9dcf,,,
CUDA Version,11.4,,,
cuDNN Version,8.2.2,,,
NSys Version,2021.3.2.12-9700a21,,,
DLProf Version,v1.8.0,,,
DLProf Build,29839685,,,
,,,,
Summary Report,,,,
Wall Clock Time (ns),7982589147,,,
Tensor Core Kernel Utilization %,1.7,,,
GPU Utilization %,0.6,,,
Tensor Core Kernel Duration %,0,,,
Non-Tensor Core Kernel Duration %,0.6,,,
Memory Duration %,0,,,
Dataloader Duration %,0,,,
IO Duration %,0,,,
CPU Duration %,19.2,,,
Other Duration %,80.2,,,
,,,,
Iterations,,,,
Total Iterations,1,,,
Aggregated Iterations,1,,,
Start Iteration,0,,,
Stop Iteration,0,,,
Average Iteration Time (ns),7982589147,,,
Iteration Time Standard Deviation,0,,,
,,,,
All Ops,,,,
,GPU Time (ns),CPU Time (ns),# Ops,
All ops,203985846,6307888622,4223,
Ops using TC,101826542,215668100,48,
Ops eligible for TC but not using,78789611,2695037215,74,
All other ops,23369693,3397183307,4101,
,,,,
All Kernels,,,,
,GPU Time (ns),CPU Time (ns),# Kernels,
All kernels,211736852,28216996,48,
Kernels using TC,3178409,383504,2,
Memory,5195959,10806933,2,
All other kernels,203362484,17026559,44,
