All Iterations
Op ID,Op Name,Direction,Op Type,No. Calls,TC Eligible,Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns),Data Type,Stack Trace
"ADAPTIVE_AVG_POOL2D_1","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/AdaptiveAvgPool2d::_call_impl[2]/AdaptiveAvgPool2d::forward/adaptive_avg_pool2d",fprop,"adaptive_avg_pool2d",1,no,no,230788,230788.0,230788,230788,19232,19232.0,19232,19232,218258,218258.0,218258,218258,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:132
../stroke/brain-ct-pipeline/src/tumor_predict.py:97
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:42
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/pooling.py:1137"
"AVG_POOL2D_1","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/avg_pool2d",fprop,"avg_pool2d",1,no,no,70779,70779.0,70779,70779,130848,130848.0,130848,130848,56919,56919.0,56919,56919,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:132
../stroke/brain-ct-pipeline/src/tumor_predict.py:97
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:41
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/pooling.py:615"
"AVG_POOL2D_2","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/avg_pool2d",fprop,"avg_pool2d",1,no,no,32099,32099.0,32099,32099,68512,68512.0,68512,68512,21259,21259.0,21259,21259,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:132
../stroke/brain-ct-pipeline/src/tumor_predict.py:97
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:41
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/pooling.py:615"
"AVG_POOL2D_3","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/avg_pool2d",fprop,"avg_pool2d",1,no,no,34590,34590.0,34590,34590,37248,37248.0,37248,37248,23410,23410.0,23410,23410,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:132
../stroke/brain-ct-pipeline/src/tumor_predict.py:97
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:41
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/pooling.py:615"
"BATCH_NORM_1","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/batch_norm",fprop,"batch_norm",1,no,no,627214,627214.0,627214,627214,328993,328993.0,328993,328993,606464,606464.0,606464,606464,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:132
../stroke/brain-ct-pipeline/src/tumor_predict.py:97
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:41
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:167"
"BATCH_NORM_10","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/_DenseLayer::bn_function/BatchNorm2d::_call_impl/BatchNorm2d::forward/batch_norm",fprop,"batch_norm",1,no,no,721083,721083.0,721083,721083,245441,245441.0,245441,245441,703593,703593.0,703593,703593,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:132
../stroke/brain-ct-pipeline/src/tumor_predict.py:97
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:41
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:127
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:92
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:53
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:167"
"BATCH_NORM_100","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/BatchNorm2d::_call_impl/BatchNorm2d::forward/batch_norm",fprop,"batch_norm",1,no,no,385206,385206.0,385206,385206,5376,5376.0,5376,5376,372347,372347.0,372347,372347,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:132
../stroke/brain-ct-pipeline/src/tumor_predict.py:97
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:41
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:127
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:94
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:167"
"BATCH_NORM_101","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/_DenseLayer::bn_function/BatchNorm2d::_call_impl/BatchNorm2d::forward/batch_norm",fprop,"batch_norm",1,no,no,397526,397526.0,397526,397526,17920,17920.0,17920,17920,385286,385286.0,385286,385286,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:132
../stroke/brain-ct-pipeline/src/tumor_predict.py:97
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:41
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:127
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:92
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:53
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:167"
"BATCH_NORM_102","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/BatchNorm2d::_call_impl/BatchNorm2d::forward/batch_norm",fprop,"batch_norm",1,no,no,386727,386727.0,386727,386727,5344,5344.0,5344,5344,373677,373677.0,373677,373677,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:132
../stroke/brain-ct-pipeline/src/tumor_predict.py:97
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:41
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:127
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:94
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:167"
"BATCH_NORM_103","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/_DenseLayer::_call_impl/_DenseLayer::forward/_DenseLayer::bn_function/BatchNorm2d::_call_impl/BatchNorm2d::forward/batch_norm",fprop,"batch_norm",1,no,no,394286,394286.0,394286,394286,18400,18400.0,18400,18400,381716,381716.0,381716,381716,0,0.0,0,0,float32,"../stroke/brain-ct-pipeline/src/tumor_predict.py:132
../stroke/brain-ct-pipeline/src/tumor_predict.py:97
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
../stroke/brain-ct-pipeline/src/tumor_predict.py:41
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:139
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:127
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:92
/opt/conda/lib/python3.8/site-packages/torchvision/models/densenet.py:53
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/module.py:1056
/opt/conda/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:167"
