Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/",4223,122,48,6183137259,6183137259.0,6183137259,6183137259,204959345,204959345.0,204959345,204959345,958503497,958503497.0,958503497,958503497,1922085996,1922085996.0,1922085996,1922085996
"/module/",4223,122,48,6183137259,6183137259.0,6183137259,6183137259,204959345,204959345.0,204959345,204959345,958503497,958503497.0,958503497,958503497,1922085996,1922085996.0,1922085996,1922085996
"/module/tumor_predict/",4223,122,48,6183137259,6183137259.0,6183137259,6183137259,204959345,204959345.0,204959345,204959345,958503497,958503497.0,958503497,958503497,1922085996,1922085996.0,1922085996,1922085996
"/module/tumor_predict/densenet121_tumor::_call_impl/",435,122,48,3097310103,3097310103.0,3097310103,3097310103,199891423,199891423.0,199891423,199891423,241391759,241391759.0,241391759,241391759,1922085996,1922085996.0,1922085996,1922085996
"/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/",435,122,48,3097310103,3097310103.0,3097310103,3097310103,199891423,199891423.0,199891423,199891423,241391759,241391759.0,241391759,241391759,1922085996,1922085996.0,1922085996,1922085996
"/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/AdaptiveAvgPool2d::_call_impl[2]/",1,0,0,230788,230788.0,230788,230788,19232,19232.0,19232,19232,218258,218258.0,218258,218258,0,0.0,0,0
"/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/AdaptiveAvgPool2d::_call_impl[2]/AdaptiveAvgPool2d::forward/",1,0,0,230788,230788.0,230788,230788,19232,19232.0,19232,19232,218258,218258.0,218258,218258,0,0.0,0,0
"/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/BatchNorm1d::_call_impl[4]/",1,0,0,467056,467056.0,467056,467056,9056,9056.0,9056,9056,413456,413456.0,413456,413456,40640,40640.0,40640,40640
"/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/BatchNorm1d::_call_impl[4]/BatchNorm1d::forward/",1,0,0,467056,467056.0,467056,467056,9056,9056.0,9056,9056,413456,413456.0,413456,413456,40640,40640.0,40640,40640
"/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Dropout::_call_impl[6]/",1,0,0,153448,153448.0,153448,153448,0,0.0,0,0,153448,153448.0,153448,153448,0,0.0,0,0
"/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Dropout::_call_impl[6]/Dropout::forward/",1,0,0,153448,153448.0,153448,153448,0,0.0,0,0,153448,153448.0,153448,153448,0,0.0,0,0
"/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Linear::_call_impl[3]/",1,1,0,735497866,735497866.0,735497866,735497866,13441,13441.0,13441,13441,11008992,11008992.0,11008992,11008992,735021119,735021119.0,735021119,735021119
"/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Linear::_call_impl[3]/Linear::forward/",1,1,0,735497866,735497866.0,735497866,735497866,13441,13441.0,13441,13441,11008992,11008992.0,11008992,11008992,735021119,735021119.0,735021119,735021119
"/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Linear::_call_impl[7]/",1,1,0,244568,244568.0,244568,244568,6944,6944.0,6944,6944,219029,219029.0,219029,219029,47808,47808.0,47808,47808
"/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Linear::_call_impl[7]/Linear::forward/",1,1,0,244568,244568.0,244568,244568,6944,6944.0,6944,6944,219029,219029.0,219029,219029,47808,47808.0,47808,47808
"/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/ReLU::_call_impl[5]/",1,0,0,302687,302687.0,302687,302687,2336,2336.0,2336,2336,287027,287027.0,287027,287027,0,0.0,0,0
"/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/ReLU::_call_impl[5]/ReLU::forward/",1,0,0,302687,302687.0,302687,302687,2336,2336.0,2336,2336,287027,287027.0,287027,287027,0,0.0,0,0
"/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Sequential::_call_impl/",427,120,48,2360329461,2360329461.0,2360329461,2360329461,199837598,199837598.0,199837598,199837598,229020110,229020110.0,229020110,229020110,1186976429,1186976429.0,1186976429,1186976429
"/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Sequential::_call_impl/Sequential::forward/",427,120,48,2360329461,2360329461.0,2360329461,2360329461,199837598,199837598.0,199837598,199837598,229020110,229020110.0,229020110,229020110,1186976429,1186976429.0,1186976429,1186976429
"/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/",427,120,48,2360329461,2360329461.0,2360329461,2360329461,199837598,199837598.0,199837598,199837598,229020110,229020110.0,229020110,229020110,1186976429,1186976429.0,1186976429,1186976429
