Iteration Report
Iteration,Op ID,Op Name,Direction,Op Type,Kernel Name,Device ID,GPU Start Time (ns),GPU Duration (ns),API Call Start (ns),API Call Time (ns),Uses TC,Grid X,Grid Y,Grid Z,Block X,Block Y,Block Z,Data Types,Input Shapes,Parameters,Output Shapes,Long Kernel Name
0,"ADAPTIVE_AVG_POOL2D_1","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/AdaptiveAvgPool2d::_call_impl[2]/AdaptiveAvgPool2d::forward/adaptive_avg_pool2d",fprop,"adaptive_avg_pool2d","reduce_kernel",0,7487585675,19232,7487572791,12530,no,1664,1,1,32,16,1,float32,"<26, 1024, 8, 8>","","","void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, (int)4>>(T3)"
0,"BATCH_NORM_122","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/BatchNorm1d::_call_impl[4]/BatchNorm1d::forward/batch_norm",fprop,"batch_norm","batch_norm_transform_input_channels_last_kernel",0,8224144721,3744,8224136707,7410,no,1,1,1,64,2,1,float32,"<26, 64>; <64>; <64>; <64>; <64>","","","void at::native::batch_norm_transform_input_channels_last_kernel<float, float, float, (int)4>(const T1 *, const T1 *, const T2 *, const T2 *, const T3 *, const T3 *, T1 *, int, int, bool)"
0,"BATCH_NORM_122","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/BatchNorm1d::_call_impl[4]/BatchNorm1d::forward/batch_norm",fprop,"batch_norm","vectorized_elementwise_kernel",0,8224128145,2848,8224116867,11900,no,1,1,1,64,1,1,float32,"<26, 64>; <64>; <64>; <64>; <64>","","","void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::batch_norm_calc_invstd(const at::Tensor &, const at::Tensor &, double)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
0,"LINEAR_1","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Linear::_call_impl[3]/Linear::forward/linear",fprop,"linear","ampere_sgemm_32x32_sliced1x4_tn",0,8223245869,6049,8223216826,32759,no,2,1,16,128,1,1,float32,"<N:26, K:1024>; <M:64, K:1024>; <64>","","<N:26, M:64>","ampere_sgemm_32x32_sliced1x4_tn"
0,"LINEAR_1","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Linear::_call_impl[3]/Linear::forward/linear",fprop,"linear","splitKreduce_kernel",0,8223265613,3520,8223255845,9910,no,2,2,1,32,16,1,float32,"<N:26, K:1024>; <M:64, K:1024>; <64>","","<N:26, M:64>","void splitKreduce_kernel<float, float, float, float, (bool)1, (bool)0>(cublasSplitKParams<T3>, const T1 *, const T2 *, T2 *, const T3 *, const T3 *, const T4 *, void *, long, T3 *, int *)"
0,"LINEAR_1","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Linear::_call_impl[3]/Linear::forward/linear",fprop,"linear","unrolled_elementwise_kernel",0,7488234573,3872,7488219616,15229,no,7,1,1,64,1,1,float32,"<N:26, K:1024>; <M:64, K:1024>; <64>","","<N:26, M:64>","void at::native::unrolled_elementwise_kernel<at::native::copy_device_to_device(at::TensorIterator &, bool)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, OffsetCalculator<(int)1, unsigned int, (bool)0>, OffsetCalculator<(int)1, unsigned int, (bool)0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)"
0,"LINEAR_2","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Linear::_call_impl[7]/Linear::forward/linear",fprop,"linear","kernel",0,8225365461,3808,8225355706,9450,no,2,1,1,8,16,1,float32,"<N:26, K:64>; <M:1, K:64>; <1>","","<N:26, M:1>","std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T12)"
0,"LINEAR_2","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Linear::_call_impl[7]/Linear::forward/linear",fprop,"linear","unrolled_elementwise_kernel",0,8225314517,3136,8225298877,16089,no,1,1,1,64,1,1,float32,"<N:26, K:64>; <M:1, K:64>; <1>","","<N:26, M:1>","void at::native::unrolled_elementwise_kernel<at::native::copy_device_to_device(at::TensorIterator &, bool)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, OffsetCalculator<(int)1, unsigned int, (bool)0>, OffsetCalculator<(int)1, unsigned int, (bool)0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T3, T4, T5, T6)"
0,"RELU_121","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/ReLU::_call_impl[5]/ReLU::forward/relu",fprop,"relu","vectorized_elementwise_kernel",0,8224575058,2336,8224560053,15660,no,7,1,1,64,1,1,float32,"<26, 64>","","","void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::clamp_min_scalar_kernel_impl(at::TensorIterator &, c10::Scalar)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)"
0,"CONV2D_14","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d","ampere_cgemm_64x32_tn",0,7065423345,1195012,7062114787,5880,no,2,1,2112,128,1,1,float32,"<N:26, C:256, H:64, W:64>; <K:128, C:256, R:1, S:1>","","<N:26, K:128, P:64, Q:64>","ampere_cgemm_64x32_tn"
0,"CONV2D_14","/module/tumor_predict/densenet121_tumor::_call_impl/densenet121_tumor::forward/Sequential::_call_impl/Sequential::forward/Conv2d::_call_impl/Conv2d::forward/BatchNorm2d::_call_impl[2]/BatchNorm2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d","ampere_gcgemm_64x64_nt",0,7067603865,402849,7067184691,5180,no,26,2,17,256,1,1,float32,"<N:26, C:256, H:64, W:64>; <K:128, C:256, R:1, S:1>","","<N:26, K:128, P:64, Q:64>","ampere_gcgemm_64x64_nt"
