Kernel Report
Kernel Name,Op ID,Op Name,Direction,Uses TC,Total GPU Time (ns),Avg GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total API Time (ns),Avg API Time (ns),Min API Time (ns),Max API Time (ns)
"reduce_kernel","ADAPTIVE_AVG_POOL2D_1","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_tumor::_call_impl/densenet121_tumor::forward/AdaptiveAvgPool2d::_call_impl[2]/AdaptiveAvgPool2d::forward/adaptive_avg_pool2d",fprop,no,8224,8224.0,8224,8224,13260,13260.0,13260,13260
"reduce_kernel","ADAPTIVE_AVG_POOL2D_2","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_tumor::_call_impl/densenet121_tumor::forward/AdaptiveAvgPool2d::_call_impl[2]/AdaptiveAvgPool2d::forward/adaptive_avg_pool2d",fprop,no,8288,8288.0,8288,8288,12860,12860.0,12860,12860
"reduce_kernel","ADAPTIVE_AVG_POOL2D_3","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_tumor::_call_impl/densenet121_tumor::forward/AdaptiveAvgPool2d::_call_impl[2]/AdaptiveAvgPool2d::forward/adaptive_avg_pool2d",fprop,no,7103,7103.0,7103,7103,13400,13400.0,13400,13400
"reduce_kernel","ADAPTIVE_AVG_POOL2D_4","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_tumor::_call_impl/densenet121_tumor::forward/AdaptiveAvgPool2d::_call_impl[2]/AdaptiveAvgPool2d::forward/adaptive_avg_pool2d",fprop,no,7424,7424.0,7424,7424,12350,12350.0,12350,12350
"batch_norm_transform_input_channels_last_kernel","BATCH_NORM_364","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_tumor::_call_impl/densenet121_tumor::forward/BatchNorm1d::_call_impl[4]/BatchNorm1d::forward/batch_norm",fprop,no,3360,3360.0,3360,3360,12410,12410.0,12410,12410
"vectorized_elementwise_kernel","BATCH_NORM_364","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_tumor::_call_impl/densenet121_tumor::forward/BatchNorm1d::_call_impl[4]/BatchNorm1d::forward/batch_norm",fprop,no,2880,2880.0,2880,2880,21560,21560.0,21560,21560
"batch_norm_transform_input_channels_last_kernel","BATCH_NORM_456","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_tumor::_call_impl/densenet121_tumor::forward/BatchNorm1d::_call_impl[4]/BatchNorm1d::forward/batch_norm",fprop,no,3296,3296.0,3296,3296,7410,7410.0,7410,7410
"vectorized_elementwise_kernel","BATCH_NORM_456","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_tumor::_call_impl/densenet121_tumor::forward/BatchNorm1d::_call_impl[4]/BatchNorm1d::forward/batch_norm",fprop,no,2848,2848.0,2848,2848,12720,12720.0,12720,12720
"batch_norm_transform_input_channels_last_kernel","BATCH_NORM_487","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_tumor::_call_impl/densenet121_tumor::forward/BatchNorm1d::_call_impl[4]/BatchNorm1d::forward/batch_norm",fprop,no,3392,3392.0,3392,3392,6990,6990.0,6990,6990
"vectorized_elementwise_kernel","BATCH_NORM_487","/Thread::_bootstrap/Thread::_bootstrap_inner/Thread::run/_worker/densenet121_tumor::_call_impl/densenet121_tumor::forward/BatchNorm1d::_call_impl[4]/BatchNorm1d::forward/batch_norm",fprop,no,2976,2976.0,2976,2976,12420,12420.0,12420,12420
