Op Type Summary Report
Op Type,# Ops,# Calls,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"CatArrayBatchedCopy",7,7,140640,20091.4,6660,47040,262050,37435.7,28224,47713,0,0.0,0,0,0,0.0,0,0
"NCCL",31,31,623907600,20126051.6,310,623413944,9095186,293393.1,0,3951047,233262915,7524610.2,310,233069987,131597987,4245096.4,0,131597987
"adaptive_avg_pool2d",4,4,966252,241563.0,188499,305507,31039,7759.8,7103,8288,914382,228595.5,176149,292647,0,0.0,0,0
"avg_pool2d",12,12,7093477,591123.1,70459,5232173,266111,22175.9,7744,40191,1706363,142196.9,53039,429816,0,0.0,0,0
"batch_norm",488,488,1092287730,2238294.5,364077,56499013,7595214,15564.0,3744,96320,509745384,1044560.2,350497,56447724,169632,347.6,0,70976
"cat",248,248,133418784,537979.0,38800,19223374,5271854,21257.5,3776,95393,25183646,101547.0,28550,1098730,0,0.0,0,0
"clear_autocast_cache",4,4,11320,2830.0,2640,3200,0,0.0,0,0,11320,2830.0,2640,3200,0,0.0,0,0
"conv2d",480,480,22519836641,46916326.3,92140,6661198104,414084939,862677.0,27712,6825145,7656148549,15950309.5,74290,3696960427,7934900673,16531043.1,3584,1637599937
"copy_",1461,1461,259318966,177494.2,3570,24884023,0,0.0,0,0,259318966,177494.2,3570,24884023,0,0.0,0,0
"cpu",1,1,95490,95490.0,95490,95490,1824,1824.0,1824,1824,50960,50960.0,50960,50960,0,0.0,0,0
"cuda",735,735,2423844975,3297748.3,28070,2390481401,4782298,6506.5,1183,2203592,17607484,23955.8,15290,4708688,0,0.0,0,0
"cudaMemcpyAsync_v3020",7,7,263610,37658.6,20140,80640,901541,128791.6,1760,332194,0,0.0,0,0,0,0.0,0,0
"cudaStreamWaitEvent_v3020",12,12,86909,7242.4,3000,12960,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0
"dropout",4,4,667473,166868.2,139478,247988,0,0.0,0,0,667473,166868.2,139478,247988,0,0.0,0,0
"fill_",487,487,2331931,4788.4,3750,25290,0,0.0,0,0,2331931,4788.4,3750,25290,0,0.0,0,0
"get_device",6,6,22680,3780.0,1870,9360,0,0.0,0,0,22680,3780.0,1870,9360,0,0.0,0,0
"linear",8,8,5975993345,746999168.1,227048,2071520620,88610,11076.2,6848,15168,1800882241,225110280.1,204948,819333330,5973312738,746664092.2,25312,2071182298
"load",2,2,409009166,204504583.0,193957905,215051261,0,0.0,0,0,409009166,204504583.0,193957905,215051261,0,0.0,0,0
"manual_seed",1,1,195658,195658.0,195658,195658,0,0.0,0,0,195658,195658.0,195658,195658,0,0.0,0,0
"max_pool2d",4,4,4335891,1083972.8,380077,1949812,297152,74288.0,59008,79776,4257742,1064435.5,366887,1922473,0,0.0,0,0
"normal_",120,120,34191802,284931.7,44180,2560656,0,0.0,0,0,34191802,284931.7,44180,2560656,0,0.0,0,0
"numpy",1,1,7350,7350.0,7350,7350,0,0.0,0,0,7350,7350.0,7350,7350,0,0.0,0,0
"ones",122,122,928615,7611.6,6310,40640,0,0.0,0,0,928615,7611.6,6310,40640,0,0.0,0,0
"relu",484,484,345265388,713358.2,311967,2541506,6298207,13012.8,2529,94112,336468233,695182.3,298067,2488706,0,0.0,0,0
"sigmoid",4,4,200488,50122.0,37210,87249,11328,2832.0,2656,2976,150558,37639.5,26210,71209,0,0.0,0,0
"tensor",243,243,1980486,8150.1,6610,49970,0,0.0,0,0,1980486,8150.1,6610,49970,0,0.0,0,0
"uniform_",126,126,57389794,455474.6,4250,7196354,0,0.0,0,0,57389794,455474.6,4250,7196354,0,0.0,0,0
"view",5,5,94447,18889.4,11149,30979,0,0.0,0,0,94447,18889.4,11149,30979,0,0.0,0,0
"zero_",366,366,853742,2332.6,1840,11740,0,0.0,0,0,853742,2332.6,1840,11740,0,0.0,0,0
"zeros",123,123,744546,6053.2,4630,40460,0,0.0,0,0,744546,6053.2,4630,40460,0,0.0,0,0
